Nivel,Nodo,Altura_media_mm,Area_mm2,X_mm,Y_mm,Z_mm
4,1,0.077786,0.000144,,,
4,1,,,1.528725,1.065475,0.070000
4,1,,,1.530578,1.065475,0.076000
4,1,,,1.532431,1.065475,0.078000
4,1,,,1.534284,1.065475,0.076000
4,1,,,1.536137,1.065475,0.072000
4,1,,,1.528725,1.067328,0.076000
4,1,,,1.530578,1.067328,0.081000
4,1,,,1.532431,1.067328,0.083000
4,1,,,1.534284,1.067328,0.083000
4,1,,,1.536137,1.067328,0.081000
4,1,,,1.537990,1.067328,0.079000
4,1,,,1.539843,1.067328,0.073000
4,1,,,1.526872,1.069181,0.070000
4,1,,,1.528725,1.069181,0.079000
4,1,,,1.530578,1.069181,0.084000
4,1,,,1.532431,1.069181,0.085000
4,1,,,1.534284,1.069181,0.085000
4,1,,,1.536137,1.069181,0.085000
4,1,,,1.537990,1.069181,0.084000
4,1,,,1.539843,1.069181,0.075000
4,1,,,1.526872,1.071034,0.071000
4,1,,,1.528725,1.071034,0.079000
4,1,,,1.530578,1.071034,0.084000
4,1,,,1.532431,1.071034,0.084000
4,1,,,1.534284,1.071034,0.081000
4,1,,,1.536137,1.071034,0.076000
4,1,,,1.537990,1.071034,0.070000
4,1,,,1.526872,1.072887,0.072000
4,1,,,1.528725,1.072887,0.079000
4,1,,,1.530578,1.072887,0.083000
4,1,,,1.532431,1.072887,0.082000
4,1,,,1.534284,1.072887,0.075000
4,1,,,1.526872,1.074740,0.072000
4,1,,,1.528725,1.074740,0.079000
4,1,,,1.530578,1.074740,0.082000
4,1,,,1.532431,1.074740,0.078000
4,1,,,1.526872,1.076593,0.072000
4,1,,,1.528725,1.076593,0.077000
4,1,,,1.530578,1.076593,0.079000
4,1,,,1.532431,1.076593,0.073000
4,1,,,1.528725,1.078446,0.071000
4,1,,,1.530578,1.078446,0.073000
4,2,0.076871,0.000106,,,
4,2,,,0.961707,0.889440,0.071000
4,2,,,0.963560,0.889440,0.072000
4,2,,,0.965413,0.889440,0.071000
4,2,,,0.958001,0.891293,0.073000
4,2,,,0.959854,0.891293,0.076000
4,2,,,0.961707,0.891293,0.079000
4,2,,,0.963560,0.891293,0.079000
4,2,,,0.965413,0.891293,0.076000
4,2,,,0.956148,0.893146,0.074000
4,2,,,0.958001,0.893146,0.079000
4,2,,,0.959854,0.893146,0.082000
4,2,,,0.961707,0.893146,0.084000
4,2,,,0.963560,0.893146,0.082000
4,2,,,0.965413,0.893146,0.077000
4,2,,,0.954295,0.894999,0.073000
4,2,,,0.956148,0.894999,0.078000
4,2,,,0.958001,0.894999,0.083000
4,2,,,0.959854,0.894999,0.085000
4,2,,,0.961707,0.894999,0.085000
4,2,,,0.963560,0.894999,0.082000
4,2,,,0.965413,0.894999,0.074000
4,2,,,0.954295,0.896852,0.072000
4,2,,,0.956148,0.896852,0.077000
4,2,,,0.958001,0.896852,0.079000
4,2,,,0.959854,0.896852,0.080000
4,2,,,0.961707,0.896852,0.078000
4,2,,,0.963560,0.896852,0.073000
4,2,,,0.956148,0.898705,0.072000
4,2,,,0.958001,0.898705,0.074000
4,2,,,0.959854,0.898705,0.073000
4,2,,,0.961707,0.898705,0.070000
4,3,0.072270,0.000127,,,
4,3,,,0.926500,0.882028,0.071000
4,3,,,0.928353,0.882028,0.070000
4,3,,,0.924647,0.883881,0.070000
4,3,,,0.926500,0.883881,0.073000
4,3,,,0.928353,0.883881,0.072000
4,3,,,0.930206,0.883881,0.070000
4,3,,,0.924647,0.885734,0.070000
4,3,,,0.926500,0.885734,0.074000
4,3,,,0.928353,0.885734,0.073000
4,3,,,0.930206,0.885734,0.072000
4,3,,,0.932059,0.885734,0.070000
4,3,,,0.924647,0.887587,0.071000
4,3,,,0.926500,0.887587,0.075000
4,3,,,0.928353,0.887587,0.074000
4,3,,,0.930206,0.887587,0.073000
4,3,,,0.932059,0.887587,0.071000
4,3,,,0.924647,0.889440,0.072000
4,3,,,0.926500,0.889440,0.075000
4,3,,,0.928353,0.889440,0.075000
4,3,,,0.930206,0.889440,0.073000
4,3,,,0.932059,0.889440,0.071000
